,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
182,Malate Church,Manila,,0,4.3,Church,,,,,,,,,
183,Manila City Hall,Manila,,0,4.3,Modern Architecture,,,,,,,,,
184,Ermita Church,Manila,,0,4.4,Church,,,,,,,,,
189,Crisologo Museum,Vigan,,0,5.0,Museum,,,,,,,,,
192,The Mall of Asia Bay Area Amusement Park,Manila,,0,4.7,Amusement Park,,,,,,,,,
194,Sinking Bell Tower,Laoag,,0,4.7,Historical Architecture,,,,,,,,,
196,Santuario de San Ezekiel Moreno,Las Piñas,,0,5.0,"Other Places of Worship, Church",,,,,,,,,
198,Taytay,Taytay,,0,4.3,Seashore,,,,,,,,,
200,Masasa Beach,Batangas City,,0,4.9,Beach,,,,,,,,,
209,St. Joseph Parish,Manila,,0,4.3,Church,,,,,,,,,
212,Chinese Garden,Manila,,0,4.5,Garden,,,,,,,,,
213,Ongpin Street,Manila,,0,4.5,Featured Neighborhood,,,,,,,,,
214,Ayala Museum,Manila,,0,4.4,Museum,,,,,,,,,
222,Independence Square,Valenzuela,,0,4.3,Square,,,,,,,,,
228,Seng Guan Temple,Manila,,0,4.7,Temple,,,,,,,,,
230,Bell Church,Baguio,,0,4.7,Temple,,,,,,,,,
234,Plaza Espana,Manila,,0,4.2,Square,,,,,,,,,
242,Quezon Memorial Circle,Manila,,0,4.2,Square,,,,,,,,,
246,Our Lady of Atonement Cathedral,Baguio,,0,5.0,Historical Site,,,,,,,,,
253,Manila Zoological Botanical Garden,Manila,,0,4.2,"Zoo, Botanical Garden",,,,,,,,,
425,Sta. Elena High School,Marikina,"Santa Elena, Marikina City, Philippines",0,0.0,School,,,,,,,,,
426,Baan Khun Thai,Makati,"926 Arnaiz Avenue | Unit 204 San Lorenzo, Makati, Luzon 1223, Philippines",0,0.0,,,,,,,,,,
427,Centennial Clock,Manila,"Roxas Boulevard, Philippines",0,0.0,,,,,,,,,,
428,Yeu Sole Body Spa,Makati,"Zaragoza Bldg, Makati, Luzon 1226, Philippines",0,0.0,,,,,,,,,,
429,Bali Palace,Quezon City,"105 D. Tuazon Avenue | Santa Mesa Heights, Quezon City, Luzon 1114, Philippines",0,0.0,,,,,,,,,,
430,Malinta Tunnel,Corregidor,"Corregidor Island, Luzon, Philippines",0,0.0,,,,,,,,,,
431,Galleria Taal,Batangas City,"60 Calle M.Agoncillo, Taal, Luzon 4208, Philippines",0,0.0,,,,,,,,,,
433,Tanay Adventure Camp,Rizal,"Sitio Malaanonang Barangay Sampaloc, Tanay, Luzon 1980, Philippines",0,0.0,"Outdoor Sports, Aerial Tour",,,,,,,,,
435,The National Shrine of the Sacred Heart,Makati,"Sacred Heart Street, Makati City, Philippines",0,0.0,Church,,,,,,,,,
436,Museo Ning Angeles,Pampanga,"Sto Rosario St Santo Rosario Historical District, Angeles City, Luzon, Philippines",0,0.0,Exhibition Hall,,,,,,,,,
439,The Podium,Mandaluyong,"12 ADB Ave, Ortigas Center, Mandaluyong, 1550 Metro Manila, Philippines",0,0.0,,,,,,,,,,
440,Redemptorist Church - National Shrine of Our Mother of Perpetual Help,Parañaque,"Redemptorist, Paranaque, Luzon 1700, Philippines",0,0.0,,,,,,,,,,
442,Thai Royale Spa,Iloilo,"Q. Abeto Street, Iloilo City, Iloilo Province 5000, Philippines",0,0.0,,,,,,,,,,
444,Balagbag Falls,Rizal,"Barangay Tingnoan, Real, Luzon 4335, Philippines",0,0.0,Waterfall,,,,,,,,,
446,Century City Mall,Makati,"Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, 1210",0,0.0,,,,,,,,,,
447,International Rice Research Institute,"Los Baños, Laguna","Pili Dr, Los Baños, Philippines",0,0.0,Farm,,,,,,,,,
448,Mt. Gulugod Baboy Trail,Quezon City,"Barangay Ligaya, Mabini, Luzon, Philippines",0,0.0,Hiking,,,,,,,,,
450,Paseo de Sta. Rosa,Santa Rosa,"Santa Rosa - Tagaytay Rd, Don Jose, Santa Rosa, Laguna, Philippines",0,0.0,,,,,,,,,,
451,Rizal Beach,Sorsogon City,"Gubat, Sorsogon, Luzon 4710, Philippines",0,0.0,Beach,,,,,,,,,
453,Bato Church,Catanduanes,"Bo. Bato, Virac, Luzon, Philippines",0,0.0,Church,,,,,,,,,
454,Lahos Island,Camarines Sur,"Caramoan, Luzon, Philippines",0,0.0,Island/Peninsula,,,,,,,,,
455,Marquee Mall,Pampanga,"North Luzon Expressway, Angeles City, Luzon, Philippines",0,0.0,,,,,,,,,,
456,Legazpi Active Park,Makati,"Trasierra | Legaspi Village, Makati, Luzon, Philippines",0,0.0,,,,,,,,,,
457,Cagbalete Island,Quezon City,"Cagbalete, Mauban, Luzon, Philippines",0,0.0,Island/Peninsula,,,,,,,,,
458,Sombrero Island,Batangas City,"Luzon, Philippines",0,0.0,Island/Peninsula,,,,,,,,,
459,Water Camp Resort,Cavite City,"Magdiwang Highway | Panamitan, Kawit, Luzon 4104, Philippines",0,0.0,Waterpark,,,,,,,,,
460,Lipa Bus Stop,Batangas City,"Lipa City, Philippines",0,0.0,,,,,,,,,,
462,Tiendesitas,Pasig,"Ortigas Avenue Corner E. Rodriguez Jr. Avenue (C-5) Ugong, Pasig, Philippines",0,0.0,,,,,,,,,,
463,San Miguel Church,Manila,"1000 J.P. Laurel Street corner Gen. Solano Street, Manila 1005 Philippines",0,0.0,Church,,,,,,,,,
464,Vinson Hall ,Quezon City,"Quezon City, Philippines",0,0.0,Waterfall,,,,,,,,,
465,Bukal Falls ,Luzon,"Barangay Bukal, Majayjay, Luzon 4005, Philippines",0,0.0,,,,,,,,,,
466,Amistad Spa,Luzon,"MJB Building Tomas Morato, Quezon City, Luzon 1103, Philippines",0,0.0,,,,,,,,,,
467,KidZania Manila,Taguig,"Park Triangle, North 11th Avenue, Bonifacio Global City, Taguig City, Metro Manila",0,0.0,Recreational Areas,,,,,,,,,
469,Guimbal Public Plaza,Iloilo,"Jose Rizal Street corner Gimeno Street, Guimbal, Iloilo Province 5022, Philippines",0,0.0,,,,,,,,,,
471,Madre de Dios Chapel,Tagaytay,"Tagaytay City, Philippines",0,0.0,Church,,,,,,,,,
473,Sampaloc Lake,San Pablo,"San Pablo City, Luzon, Philippines",0,0.0,Lake,,,,,,,,,
474,The Metro Gallery,Luzon,"214 Ortega, San Juan, Luzon, Philippines",0,0.0,Art Gallery,,,,,,,,,
475,Fortune Island,Luzon,"Nasugbu, Luzon, Philippines",0,0.0,Island,,,,,,,,,
476,La Mesa Ecopark,Quezon City,"North Fairview, Quezon City, Philippines",0,0.0,,,,,,,,,,
477,Caringo Island,Luzon,"Daet, Luzon 4601, Philippines",0,0.0,,,,,,,,,,
478,Christ the King Church,Quezon City,"Green Meadows Ave., Green Meadows 1, White Plains, Quezon City 1110, Philippines",0,0.0,Church,,,,,,,,,
480,Camp N Nuvali,Luzon,"Paseo De Beatriz, | Nuvali, Calamba, Luzon, Philippines",0,0.0,Jungle Leap,,,,,,,,,
482,Far Eastern University,Luzon,"Nicanor Reyes Street, Manila, Luzon 1008, Philippines",0,0.0,School,,,,,,,,,
484,Army Golf Course,Taguig,"Bayani Road,Taguig City, Manila, Luzon, Philippines",0,0.0,Gold Course,,,,,,,,,
485,Shrine of Our Lady of Peace and Good Voyage,Antipolo City,"Pascual Oliveros Street, Antipolo City, Luzon 1870, Philippines",0,0.0,,,,,,,,,,
486,Bulabog Putian National Park,Iloilo,"San Enrique, Iloilo",0,0.0,National Park,,,,,,,,,
487,Boso Boso Church,Antipolo City,"Barangay San Jose, Antipolo City, Luzon, Philippines",0,0.0,Church,,,,,,,,,
488,Solenad 3 Cinema,Sta. Rosa,"Solenad 3 Nuvali, Sto. Domingo, Santa Rosa, Luzon, Philippines",0,0.0,,,,,,,,,,
489,The Orchard Golf & Country Club,Dasmariñas,"Aguinaldo Highway, Dasmarinas City, Luzon 4114, Philippines",0,0.0,Golf Course,,,,,,,,,
490,Sta Lucia East Grand Mall,Cainta,"Felix Avenue, Cainta, Philippines",0,0.0,,,,,,,,,,
491,Shrine of Our Lady Of Caysasay,Luzon,"Barangay Laba, Taal, Luzon, Philippines",0,0.0,Church,,,,,,,,,
492,Bato Church,Virac,"Bo. Bato, Virac, Luzon, Philippines",0,0.0,Church,,,,,,,,,
493,Lahos Island,Luzon,"Caramoan, Luzon, Philippines",0,0.0,,,,,,,,,,
494,Marquee Mall,Angeles,"North Luzon Expressway, Angeles City, Luzon, Philippines",0,0.0,,,,,,,,,,
